id,reason_text,cognitive_function,signal_strength,function_group
103,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Dalam banyak situasi, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,high,Perceiving
104,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Karena itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,high,Perceiving
105,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Dalam banyak situasi, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,medium,Perceiving
106,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Dalam banyak situasi, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,low,Perceiving
107,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Sering kali, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,medium,Perceiving
108,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Di sisi lain, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,medium,Perceiving
109,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Karena itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,low,Perceiving
110,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Sering kali, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,medium,Perceiving
111,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Di sisi lain, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,low,Perceiving
112,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Selain itu, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,high,Perceiving
113,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Selain itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,high,Perceiving
114,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Selain itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,low,Perceiving
115,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Di sisi lain, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,high,Perceiving
116,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Selain itu, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,medium,Perceiving
117,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Dalam banyak situasi, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,high,Perceiving
118,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Di sisi lain, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,medium,Perceiving
119,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Selain itu, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,medium,Perceiving
120,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Karena itu, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,medium,Perceiving
121,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Selain itu, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,medium,Perceiving
122,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Karena itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,medium,Perceiving
123,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Dalam banyak situasi, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,medium,Perceiving
124,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Sering kali, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,high,Perceiving
125,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Karena itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,low,Perceiving
126,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Dalam banyak situasi, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,high,Perceiving
127,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Selain itu, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,high,Perceiving
128,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Di sisi lain, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,medium,Perceiving
129,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Dalam banyak situasi, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,low,Perceiving
130,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Sering kali, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,medium,Perceiving
131,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Di sisi lain, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,medium,Perceiving
132,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Karena itu, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,low,Perceiving
133,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Sering kali, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,high,Perceiving
134,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Selain itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,high,Perceiving
135,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Di sisi lain, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,medium,Perceiving
136,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Di sisi lain, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,high,Perceiving
137,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Di sisi lain, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,high,Perceiving
138,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Selain itu, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,low,Perceiving
139,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Dalam banyak situasi, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,low,Perceiving
140,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Sering kali, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,high,Perceiving
141,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Di sisi lain, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,low,Perceiving
142,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Dalam banyak situasi, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,medium,Perceiving
143,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Sering kali, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,medium,Perceiving
144,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Karena itu, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,low,Perceiving
145,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Di sisi lain, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,medium,Perceiving
146,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Selain itu, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,high,Perceiving
147,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Sering kali, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,medium,Perceiving
148,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Di sisi lain, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,low,Perceiving
149,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Sering kali, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,low,Perceiving
150,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Di sisi lain, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,medium,Perceiving
151,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Dalam banyak situasi, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,medium,Perceiving
152,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Karena itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,high,Perceiving
153,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Karena itu, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,medium,Perceiving
154,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Di sisi lain, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,medium,Perceiving
155,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Sering kali, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,high,Perceiving
156,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Selain itu, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,low,Perceiving
157,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Selain itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,low,Perceiving
158,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Di sisi lain, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,low,Perceiving
159,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Dalam banyak situasi, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,medium,Perceiving
160,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Dalam banyak situasi, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,medium,Perceiving
161,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Sering kali, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,medium,Perceiving
162,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Sering kali, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,medium,Perceiving
163,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Selain itu, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,high,Perceiving
164,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Karena itu, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,high,Perceiving
165,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Karena itu, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,high,Perceiving
166,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Karena itu, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,low,Perceiving
167,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Dalam banyak situasi, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,high,Perceiving
168,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Karena itu, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,low,Perceiving
169,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Selain itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,medium,Perceiving
170,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Dalam banyak situasi, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,low,Perceiving
171,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Di sisi lain, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,low,Perceiving
172,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Selain itu, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,medium,Perceiving
173,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Di sisi lain, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,medium,Perceiving
174,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Karena itu, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,medium,Perceiving
