sample_id,text,function,stance,label,family_id,split,source,generator_version,source_sample_id,source_family_id,source_split
v1:SYN06768,biasanya aku cenderung merespons peluang konkret yang baru muncul di lapangan saat menghadapi persoalan baru.,Se,support,Se:support,Se-03,train,synthetic,synthetic-cognitive-v1,SYN06768,Se-03,train
v2:SYN12826,aku tidak terbiasa menganalisis prinsip dasar meski belum ada manfaat praktis saat menyelesaikan proyek. Itu bukan cara yang biasanya kupakai.,Ti,oppose,Ti:oppose,Ti-06,train,synthetic,synthetic-cognitive-v2,SYN12826,Ti-04,test
v2:SYN04763,saya cenderung mengatur urutan pekerjaan dan batas waktu supaya semua kelar tepat jadwal ketika mengerjakan tugas.,Te,support,Te:support,Te-02,train,synthetic,synthetic-cognitive-v2,SYN04763,Te-02,train
v2:SYN11977,aku tidak terbiasa mencari benang merah antara peristiwa yang tampak tidak berhubungan ketika berdiskusi dalam kelompok. Itu bukan cara yang biasanya kupakai.,Ni,oppose,Ni:oppose,Ni-01,train,synthetic,synthetic-cognitive-v2,SYN11977,Ni-06,train
v1:SYN05894,biasanya aku tidak terbiasa memperhatikan makna tersembunyi di balik pola yang berulang dalam kegiatan sehari hari. Itu bukan cara yang biasanya kupakai.,Ni,oppose,Ni:oppose,Ni-05,train,synthetic,synthetic-cognitive-v1,SYN05894,Ni-05,train
v1:SYN01557,kalau ditanya aku cenderung menguji apakah kesimpulan benar benar mengikuti premisnya saat kuliah.,Ti,support,Ti:support,Ti-05,train,synthetic,synthetic-cognitive-v1,SYN01557,Ti-05,train
v1:SYN05522,aku tidak terbiasa mencari benang merah di balik kejadian yang tampaknya terpisah dalam kegiatan sehari hari. Itu bukan cara yang biasanya kupakai.,Ni,oppose,Ni:oppose,Ni-01,train,synthetic,synthetic-cognitive-v1,SYN05522,Ni-01,train
v1:SYN03383,dalam keseharian saya tidak terbiasa mendengarkan nurani meskipun keputusan itu tidak disukai orang lain dalam kegiatan komunitas. Itu bukan cara yang biasanya kupakai.,Fi,oppose,Fi:oppose,Fi-01,train,synthetic,synthetic-cognitive-v1,SYN03383,Fi-01,train
v1:SYN04142,aku cenderung mengenali alasan batin yang membuat suatu keputusan terasa selaras dalam kegiatan sehari hari.,Fi,support,Fi:support,Fi-10,test,synthetic,synthetic-cognitive-v1,SYN04142,Fi-10,test
v1:SYN03663,"aku kadang menjaga keaslian diriku daripada mengikuti harapan orang begitu saja saat kuliah, tetapi kadang tidak. Itu bergantung pada keadaan.",Fi,mixed,Fi:mixed,Fi-04,train,synthetic,synthetic-cognitive-v1,SYN03663,Fi-04,train
v2:SYN12417,aku tidak terbiasa memeriksa kondisi nyata daripada hanya membayangkannya saat menghadapi persoalan baru. Itu bukan cara yang biasanya kupakai.,Se,oppose,Se:oppose,Se-06,train,synthetic,synthetic-cognitive-v2,SYN12417,Se-06,train
v2:SYN10038,"biasanya aku kadang menyusun ulang logika suatu masalah dari awal saat menghadapi persoalan baru, tetapi kadang tidak. Itu bergantung pada keadaan.",Ti,mixed,Ti:mixed,Ti-07,train,synthetic,synthetic-cognitive-v2,SYN10038,Ti-12,train
v1:SYN00848,saya tidak terbiasa membuat urutan tindakan praktis untuk mencapai sasaran proyek dalam kegiatan sehari hari. Itu bukan cara yang biasanya kupakai.,Te,oppose,Te:oppose,Te-09,validation,synthetic,synthetic-cognitive-v1,SYN00848,Te-09,validation
v2:SYN14395,kalau ditanya aku cenderung menelusuri sebab akibat untuk memahami mengapa sesuatu berhasil dalam kegiatan sehari hari.,Ti,support,Ti:support,Ti-04,train,synthetic,synthetic-cognitive-v2,SYN14395,Ti-05,train
v2:SYN13103,biasanya aku cenderung mengacu pada pengalaman nyata sebelum menerima hal baru ketika bekerja bersama teman.,Si,support,Si:support,Si-05,train,synthetic,synthetic-cognitive-v2,SYN13103,Si-05,train
v2:SYN01769,biasanya aku cenderung menangkap pola yang menghubungkan berbagai topik sekaligus ketika mengerjakan tugas.,Ne,support,Ne:support,Ne-08,validation,synthetic,synthetic-cognitive-v2,SYN01769,Ne-15,train
v2:SYN11992,dalam keseharian saya tidak terbiasa menyesuaikan gerakan berdasarkan apa yang terlihat langsung dalam kegiatan komunitas. Itu bukan cara yang biasanya kupakai.,Se,oppose,Se:oppose,Se-04,train,synthetic,synthetic-cognitive-v2,SYN11992,Se-07,train
v1:SYN04397,"biasanya aku kadang menghubungkan satu ide dengan banyak kemungkinan baru dalam kegiatan komunitas, tetapi kadang tidak. Itu bergantung pada keadaan.",Ne,mixed,Ne:mixed,Ne-00,train,synthetic,synthetic-cognitive-v1,SYN04397,Ne-00,train
v1:SYN01807,saya cenderung mempertanyakan aturan yang alasan logisnya belum kupahami ketika mengerjakan tugas.,Ti,support,Ti:support,Ti-08,validation,synthetic,synthetic-cognitive-v1,SYN01807,Ti-08,validation
v2:SYN14170,aku belum pernah menghadapi situasi seperti yang ditanyakan ketika berdiskusi dalam kelompok. Tidak tahu harus bilang apa lagi.,unknown,unknown,unknown,unknown-10,test,synthetic,synthetic-cognitive-v2,SYN14170,unknown-01,train
v1:SYN05253,aku tidak terbiasa melihat berbagai kegunaan baru dari benda yang sama saat kuliah. Itu bukan cara yang biasanya kupakai.,Ne,oppose,Ne:oppose,Ne-10,test,synthetic,synthetic-cognitive-v1,SYN05253,Ne-10,test
v2:SYN01157,kalau ditanya aku cenderung fokus pada detail fisik yang ada di hadapan saat ini saat kuliah.,Se,support,Se:support,Se-05,train,synthetic,synthetic-cognitive-v2,SYN01157,Se-09,validation
v1:SYN08193,aku cenderung mempertahankan rutinitas yang terbukti nyaman dari pengalaman berulang saat kuliah.,Si,support,Si:support,Si-07,train,synthetic,synthetic-cognitive-v1,SYN08193,Si-07,train
v1:SYN07080,kalau ditanya aku tidak terbiasa memeriksa kondisi fisik sebenarnya daripada hanya membayangkannya saat menghadapi persoalan baru. Itu bukan cara yang biasanya kupakai.,Se,oppose,Se:oppose,Se-06,train,synthetic,synthetic-cognitive-v1,SYN07080,Se-06,train
v1:SYN01716,aku cenderung membangun kerangka pemahaman yang masuk akal bagi pikiranku saat menghadapi persoalan baru.,Ti,support,Ti:support,Ti-07,train,synthetic,synthetic-cognitive-v1,SYN01716,Ti-07,train
v2:SYN13504,dalam keseharian saya tidak terbiasa menganalisis prinsip dasar meski belum ada manfaat praktis ketika berdiskusi dalam kelompok. Itu bukan cara yang biasanya kupakai.,Ti,oppose,Ti:oppose,Ti-06,train,synthetic,synthetic-cognitive-v2,SYN13504,Ti-04,train
v2:SYN15408,"dalam keseharian saya kadang memeriksa apakah sesuatu menyimpang dari kebiasaan yang dikenal ketika mengerjakan tugas, tetapi kadang tidak. Itu bergantung pada keadaan.",Si,mixed,Si:mixed,Si-03,train,synthetic,synthetic-cognitive-v2,SYN15408,Si-08,test
v1:SYN07780,saya tidak terbiasa menggunakan langkah yang pernah berhasil sebagai acuan kegiatan baru ketika bekerja bersama teman. Itu bukan cara yang biasanya kupakai.,Si,oppose,Si:oppose,Si-02,train,synthetic,synthetic-cognitive-v1,SYN07780,Si-02,train
v1:SYN05360,dalam keseharian saya tidak terbiasa memunculkan pilihan tambahan ketika orang lain merasa opsinya habis dalam kegiatan sehari hari. Itu bukan cara yang biasanya kupakai.,Ne,oppose,Ne:oppose,Ne-11,test,synthetic,synthetic-cognitive-v1,SYN05360,Ne-11,test
v2:SYN06693,dalam keseharian saya tidak terbiasa menjaga komunikasi yang menghargai norma dan kebutuhan bersama ketika berdiskusi dalam kelompok. Itu bukan cara yang biasanya kupakai.,Fe,oppose,Fe:oppose,Fe-11,test,synthetic,synthetic-cognitive-v2,SYN06693,Fe-08,train
v2:SYN06538,biasanya aku cenderung menguji contoh pengecualian untuk mencari celah suatu penjelasan dalam kegiatan komunitas.,Ti,support,Ti:support,Ti-10,test,synthetic,synthetic-cognitive-v2,SYN06538,Ti-06,train
v2:SYN04619,"biasanya aku kadang memikirkan dulu perasaan orang banyak sebelum memutuskan sesuatu bersama ketika mengerjakan tugas, tetapi kadang tidak. Itu bergantung pada keadaan.",Fe,mixed,Fe:mixed,Fe-00,train,synthetic,synthetic-cognitive-v2,SYN04619,Fe-00,test
v2:SYN12477,aku tidak terbiasa memakai indikator keberhasilan untuk mengevaluasi proses kerja ketika bekerja bersama teman. Itu bukan cara yang biasanya kupakai.,Te,oppose,Te:oppose,Te-05,train,synthetic,synthetic-cognitive-v2,SYN12477,Te-05,validation
v2:SYN01906,kalau ditanya aku cenderung memeriksa apa yang sungguh penting sebelum berkomitmen saat kuliah.,Fi,support,Fi:support,Fi-02,train,synthetic,synthetic-cognitive-v2,SYN01906,Fi-04,train
v2:SYN04075,aku cenderung mengembangkan beberapa skenario alternatif dari satu informasi kecil ketika bekerja bersama teman.,Ne,support,Ne:support,Ne-09,validation,synthetic,synthetic-cognitive-v2,SYN04075,Ne-05,train
v2:SYN08603,saya tidak terbiasa memperhatikan keadaan sekitar lalu segera bertindak saat kuliah. Itu bukan cara yang biasanya kupakai.,Se,oppose,Se:oppose,Se-00,train,synthetic,synthetic-cognitive-v2,SYN08603,Se-01,train
v2:SYN15559,"dalam keseharian saya kadang mengatur urutan pekerjaan dan batas waktu supaya semua kelar tepat jadwal saat kuliah, tetapi kadang tidak. Itu bergantung pada keadaan.",Te,mixed,Te:mixed,Te-02,train,synthetic,synthetic-cognitive-v2,SYN15559,Te-02,validation
v2:SYN13471,biasanya aku tidak terbiasa berusaha membuat semua orang merasa nyaman dalam suatu kelompok saat kuliah. Itu bukan cara yang biasanya kupakai.,Fe,oppose,Fe:oppose,Fe-03,train,synthetic,synthetic-cognitive-v2,SYN13471,Fe-13,train
v2:SYN14850,"biasanya aku kadang menjaga rutinitas yang sudah terasa nyaman dan familiar ketika bekerja bersama teman, tetapi kadang tidak. Itu bergantung pada keadaan.",Si,mixed,Si:mixed,Si-07,train,synthetic,synthetic-cognitive-v2,SYN14850,Si-06,train
v1:SYN06952,dalam keseharian saya cenderung mengamati detail lingkungan sebelum mengambil tindakan saat itu juga ketika bekerja bersama teman.,Se,support,Se:support,Se-05,train,synthetic,synthetic-cognitive-v1,SYN06952,Se-05,train
v2:SYN14247,"aku kadang mempertahankan batas pribadi karena sesuai dengan nurani saat menyelesaikan proyek, tetapi kadang tidak. Itu bergantung pada keadaan.",Fi,mixed,Fi:mixed,Fi-07,train,synthetic,synthetic-cognitive-v2,SYN14247,Fi-07,train
v2:SYN05057,aku cenderung mempertanyakan aturan yang alasannya belum benar benar dipahami saat menyelesaikan proyek.,Ti,support,Ti:support,Ti-08,validation,synthetic,synthetic-cognitive-v2,SYN05057,Ti-08,train
v2:SYN07606,saya tidak terbiasa menghitung untung rugi secara nyata sebelum mengambil langkah dalam kegiatan komunitas. Itu bukan cara yang biasanya kupakai.,Te,oppose,Te:oppose,Te-10,test,synthetic,synthetic-cognitive-v2,SYN07606,Te-07,train
v1:SYN05401,aku cenderung merangkai berbagai petunjuk menjadi satu gambaran arah jangka panjang ketika mengerjakan tugas.,Ni,support,Ni:support,Ni-00,train,synthetic,synthetic-cognitive-v1,SYN05401,Ni-00,train
v2:SYN04738,"kalau ditanya aku kadang menelusuri sebab akibat untuk memahami mengapa sesuatu berhasil saat kuliah, tetapi kadang tidak. Itu bergantung pada keadaan.",Ti,mixed,Ti:mixed,Ti-04,train,synthetic,synthetic-cognitive-v2,SYN04738,Ti-05,train
v2:SYN09995,"dalam keseharian saya kadang memastikan pilihan selaras dengan nilai pribadi yang diyakini ketika berdiskusi dalam kelompok, tetapi kadang tidak. Itu bergantung pada keadaan.",Fi,mixed,Fi:mixed,Fi-00,train,synthetic,synthetic-cognitive-v2,SYN09995,Fi-00,train
v1:SYN05957,biasanya aku cenderung menyaring berbagai kemungkinan menuju satu arah yang paling masuk akal dalam kegiatan komunitas.,Ni,support,Ni:support,Ni-06,train,synthetic,synthetic-cognitive-v1,SYN05957,Ni-06,train
v2:SYN13746,"kalau ditanya aku kadang menjaga komunikasi yang menghargai norma dan kebutuhan bersama saat menyelesaikan proyek, tetapi kadang tidak. Itu bergantung pada keadaan.",Fe,mixed,Fe:mixed,Fe-11,test,synthetic,synthetic-cognitive-v2,SYN13746,Fe-08,train
v2:SYN12850,aku cenderung menyesuaikan sikap demi menjaga keharmonisan bersama ketika berdiskusi dalam kelompok.,Fe,support,Fe:support,Fe-03,train,synthetic,synthetic-cognitive-v2,SYN12850,Fe-14,train
v1:SYN08398,kalau ditanya aku cenderung memakai pembelajaran dari pengalaman terdahulu agar kesalahan tidak berulang ketika bekerja bersama teman.,Si,support,Si:support,Si-09,validation,synthetic,synthetic-cognitive-v1,SYN08398,Si-09,validation
v2:SYN09244,"dalam keseharian saya kadang meramu ide dari berbagai bidang menjadi satu peluang segar ketika mengerjakan tugas, tetapi kadang tidak. Itu bergantung pada keadaan.",Ne,mixed,Ne:mixed,Ne-03,train,synthetic,synthetic-cognitive-v2,SYN09244,Ne-09,validation
v1:SYN05427,kalau ditanya aku cenderung merangkai berbagai petunjuk menjadi satu gambaran arah jangka panjang saat kuliah.,Ni,support,Ni:support,Ni-00,train,synthetic,synthetic-cognitive-v1,SYN05427,Ni-00,train
v2:SYN08418,"biasanya aku kadang mengembangkan beberapa skenario alternatif dari satu informasi kecil saat menyelesaikan proyek, tetapi kadang tidak. Itu bergantung pada keadaan.",Ne,mixed,Ne:mixed,Ne-09,validation,synthetic,synthetic-cognitive-v2,SYN08418,Ne-05,train
v1:SYN00952,dalam keseharian saya tidak terbiasa mengevaluasi biaya dan manfaat nyata sebelum menjalankan keputusan ketika bekerja bersama teman. Itu bukan cara yang biasanya kupakai.,Te,oppose,Te:oppose,Te-10,test,synthetic,synthetic-cognitive-v1,SYN00952,Te-10,test
v1:SYN07105,"kalau ditanya aku kadang memeriksa kondisi fisik sebenarnya daripada hanya membayangkannya ketika mengerjakan tugas, tetapi kadang tidak. Itu bergantung pada keadaan.",Se,mixed,Se:mixed,Se-06,train,synthetic,synthetic-cognitive-v1,SYN07105,Se-06,train
v1:SYN04596,aku cenderung menggabungkan gagasan dari bidang berbeda menjadi peluang baru saat menghadapi persoalan baru.,Ne,support,Ne:support,Ne-03,train,synthetic,synthetic-cognitive-v1,SYN04596,Ne-03,train
v2:SYN05169,biasanya aku tidak terbiasa membantu meredakan konflik agar semua pihak bisa berdialog saat menghadapi persoalan baru. Itu bukan cara yang biasanya kupakai.,Fe,oppose,Fe:oppose,Fe-07,train,synthetic,synthetic-cognitive-v2,SYN05169,Fe-02,train
v1:SYN06396,aku cenderung menafsirkan rangkaian tanda untuk memahami tema yang menyatukannya saat menghadapi persoalan baru.,Ni,support,Ni:support,Ni-11,test,synthetic,synthetic-cognitive-v1,SYN06396,Ni-11,test
v2:SYN02489,dalam keseharian saya cenderung mengupayakan jalan tengah saat keinginan tiap anggota tidak sama ketika berdiskusi dalam kelompok.,Fe,support,Fe:support,Fe-02,train,synthetic,synthetic-cognitive-v2,SYN02489,Fe-04,train
v1:SYN08242,dalam keseharian saya tidak terbiasa mempertahankan rutinitas yang terbukti nyaman dari pengalaman berulang ketika bekerja bersama teman. Itu bukan cara yang biasanya kupakai.,Si,oppose,Si:oppose,Si-07,train,synthetic,synthetic-cognitive-v1,SYN08242,Si-07,train
v2:SYN11885,"dalam keseharian saya kadang memakai pelajaran dari pengalaman lama agar kesalahan tak berulang dalam kegiatan sehari hari, tetapi kadang tidak. Itu bergantung pada keadaan.",Si,mixed,Si:mixed,Si-09,validation,synthetic,synthetic-cognitive-v2,SYN11885,Si-10,validation
v1:SYN07245,biasanya aku tidak terbiasa mengubah langkah dengan cepat ketika keadaan di depan mata berubah saat kuliah. Itu bukan cara yang biasanya kupakai.,Se,oppose,Se:oppose,Se-08,validation,synthetic,synthetic-cognitive-v1,SYN07245,Se-08,validation
v2:SYN02647,"kalau ditanya aku kadang senang terlibat langsung dalam aktivitas fisik yang nyata ketika mengerjakan tugas, tetapi kadang tidak. Itu bergantung pada keadaan.",Se,mixed,Se:mixed,Se-09,validation,synthetic,synthetic-cognitive-v2,SYN02647,Se-14,test
v2:SYN04251,saya cenderung menyimpan detail pengalaman sebagai acuan untuk situasi berikutnya ketika berdiskusi dalam kelompok.,Si,support,Si:support,Si-10,test,synthetic,synthetic-cognitive-v2,SYN04251,Si-15,train
v2:SYN04488,aku cenderung menafsirkan tanda tanda kecil untuk menemukan tema besarnya ketika mengerjakan tugas.,Ni,support,Ni:support,Ni-11,test,synthetic,synthetic-cognitive-v2,SYN04488,Ni-05,test
v2:SYN04829,"biasanya aku kadang bersemangat membahas kemungkinan yang belum tentu terjadi saat kuliah, tetapi kadang tidak. Itu bergantung pada keadaan.",Ne,mixed,Ne:mixed,Ne-00,train,synthetic,synthetic-cognitive-v2,SYN04829,Ne-11,test
v1:SYN01935,biasanya aku tidak terbiasa memeriksa ketepatan konsep meskipun banyak orang sudah menyetujuinya saat kuliah. Itu bukan cara yang biasanya kupakai.,Ti,oppose,Ti:oppose,Ti-09,validation,synthetic,synthetic-cognitive-v1,SYN01935,Ti-09,validation
v2:SYN01070,"biasanya aku kadang memeriksa apa yang sungguh penting sebelum berkomitmen dalam kegiatan komunitas, tetapi kadang tidak. Itu bergantung pada keadaan.",Fi,mixed,Fi:mixed,Fi-02,train,synthetic,synthetic-cognitive-v2,SYN01070,Fi-04,train
v1:SYN00923,dalam keseharian saya cenderung mengevaluasi biaya dan manfaat nyata sebelum menjalankan keputusan dalam kegiatan komunitas.,Te,support,Te:support,Te-10,test,synthetic,synthetic-cognitive-v1,SYN00923,Te-10,test
v2:SYN05317,"kalau ditanya aku kadang memperhatikan pola tersembunyi yang jarang disadari orang lain ketika bekerja bersama teman, tetapi kadang tidak. Itu bergantung pada keadaan.",Ni,mixed,Ni:mixed,Ni-05,train,synthetic,synthetic-cognitive-v2,SYN05317,Ni-09,validation
v2:SYN00730,"aku kadang mencari inti persoalan di balik permukaan yang terlihat rumit ketika berdiskusi dalam kelompok, tetapi kadang tidak. Itu bergantung pada keadaan.",Ni,mixed,Ni:mixed,Ni-08,validation,synthetic,synthetic-cognitive-v2,SYN00730,Ni-13,train
v2:SYN14801,"aku kadang mengatur langkah kerja berdasarkan hasil yang terukur saat menghadapi persoalan baru, tetapi kadang tidak. Itu bergantung pada keadaan.",Te,mixed,Te:mixed,Te-08,validation,synthetic,synthetic-cognitive-v2,SYN14801,Te-14,train
v2:SYN15860,"dalam keseharian saya kadang memperhatikan konsistensi antara apa yang terjadi kini dan dulu ketika bekerja bersama teman, tetapi kadang tidak. Itu bergantung pada keadaan.",Si,mixed,Si:mixed,Si-00,train,synthetic,synthetic-cognitive-v2,SYN15860,Si-14,train
v1:SYN04915,kalau ditanya aku tidak terbiasa mencoba sudut pandang baru walaupun gagasannya belum praktis ketika mengerjakan tugas. Itu bukan cara yang biasanya kupakai.,Ne,oppose,Ne:oppose,Ne-06,train,synthetic,synthetic-cognitive-v1,SYN04915,Ne-06,train
v1:SYN04516,biasanya aku cenderung membayangkan beberapa cara berbeda untuk mengubah keadaan ketika bekerja bersama teman.,Ne,support,Ne:support,Ne-02,train,synthetic,synthetic-cognitive-v1,SYN04516,Ne-02,train
v2:SYN00347,"saya kadang memunculkan opsi tambahan saat orang lain merasa buntu saat menyelesaikan proyek, tetapi kadang tidak. Itu bergantung pada keadaan.",Ne,mixed,Ne:mixed,Ne-11,test,synthetic,synthetic-cognitive-v2,SYN00347,Ne-10,train
v1:SYN00809,"kalau ditanya aku kadang mengubah rencana kerja setelah melihat ukuran hasil di lapangan dalam kegiatan komunitas, tetapi kadang tidak. Itu bergantung pada keadaan.",Te,mixed,Te:mixed,Te-08,validation,synthetic,synthetic-cognitive-v1,SYN00809,Te-08,validation
v2:SYN11330,dalam keseharian saya cenderung menolak tindakan yang bertentangan dengan prinsip pribadi saat menghadapi persoalan baru.,Fi,support,Fi:support,Fi-03,train,synthetic,synthetic-cognitive-v2,SYN11330,Fi-02,train
v2:SYN13885,kalau ditanya aku tidak terbiasa menemukan kegunaan baru dari sesuatu yang sudah biasa ketika mengerjakan tugas. Itu bukan cara yang biasanya kupakai.,Ne,oppose,Ne:oppose,Ne-10,test,synthetic,synthetic-cognitive-v2,SYN13885,Ne-07,train
v2:SYN15525,dalam keseharian saya cenderung memisahkan fakta dan asumsi sebelum menarik kesimpulan ketika bekerja bersama teman.,Ti,support,Ti:support,Ti-01,train,synthetic,synthetic-cognitive-v2,SYN15525,Ti-14,validation
v1:SYN08479,dalam keseharian saya cenderung menautkan pengalaman baru dengan kesan pribadi yang pernah kurasakan ketika mengerjakan tugas.,Si,support,Si:support,Si-10,test,synthetic,synthetic-cognitive-v1,SYN08479,Si-10,test
